TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
"Friday, Jun 27",,,,,,
12:17 AM,NK2493,Detroit (DTW),Spirit Airlines,A21N (N742NK),,Landed 11:52 PM
12:23 AM,DL2190,New York (JFK),Delta Air Lines,A21N (N530DE),,Landed 12:59 AM
12:24 AM,NK2302,Orlando (MCO),Spirit Airlines,A21N (N716NK),,Landed 11:59 PM
12:26 AM,NK2564,Fort Lauderdale (FLL),Spirit Airlines,A321 (N661NK),,Landed 1:45 AM
12:40 AM,AA659,Miami (MIA),American Airlines,A319 (N4005X),,Landed 12:46 AM
12:54 AM,DL471,Los Angeles (LAX),Delta Air Lines,B739 (N891DN),,Landed 12:43 AM
1:00 AM,CV6105,San Juan (SJU),Cargolux,B744 (LX-ECV),,Landed 1:31 AM
1:00 AM,CV6104,San Juan (SJU),Cargolux,747,,Unknown
1:35 AM,DL797,Seattle (SEA),Delta Air Lines,B739 (N874DN),,Landed 1:20 AM
1:41 AM,DL8877,New York (JFK),Delta Air Lines,B752 (N649DL),,Landed 2:04 AM
2:04 AM,DL9963,Chattanooga (CHA),Delta Air Lines,-,,Canceled
2:09 AM,8C3305,Wilmington (ILN),Amazon Air,B763 (N617AZ),,Landed 1:54 AM
2:15 AM,KE255,Anchorage (ANC),Korean Air,74N,,Unknown
3:08 AM,DL8844,Pittsburgh (PIT),Delta Air Lines,B752 (N692DL),,Landed 4:00 AM
3:28 AM,5X1306,Louisville (SDF),UPS,MD11 (N262UP),,Landed 3:24 AM
4:15 AM,CX2091,Dallas (DFW),Cathay Pacific,74N,,Unknown
4:15 AM,CX2091,Dallas (DFW),Cathay Pacific,74N,,Unknown
4:29 AM,DL543,Santa Ana (SNA),Delta Air Lines,B752 (N723TW),,Landed 4:21 AM
4:37 AM,FX1421,Memphis (MEM),FedEx,B763 (N263FE),,Landed 4:35 AM
4:39 AM,FX1703,Indianapolis (IND),FedEx,B763 (N268FE),,Landed 4:30 AM
4:58 AM,5X1308,Philadelphia (PHL),UPS,A306 (N142UP),,Landed 4:54 AM
5:00 AM,DL783,Los Angeles (LAX),Delta Air Lines,B739 (N893DN),,Landed 4:50 AM
5:00 AM,DL487,San Diego (SAN),Delta Air Lines,A321 (N119DN),,Landed 4:52 AM
5:00 AM,F92428,Las Vegas (LAS),Frontier (Choo the Pika Livery),A20N (N331FR),,Landed 5:40 AM
5:00 AM,5X1302,Louisville (SDF),UPS,B763 (N353UP),,Landed 5:18 AM
5:04 AM,5X1304,Louisville (SDF),UPS,A306 (N161UP),,Landed 4:37 AM
5:07 AM,F93216,Los Angeles (LAX),Frontier (Abaco the Kirtland's Warbler Livery),A21N (N630FR),,Landed 6:28 AM
5:12 AM,DL635,San Francisco (SFO),Delta Air Lines,B739 (N812DN),,Landed 5:17 AM
5:12 AM,DL888,Portland (PDX),Delta Air Lines,B739 (N884DN),,Landed 5:54 AM
5:12 AM,DL912,Salt Lake City (SLC),Delta Air Lines,A321 (N376DN),,Landed 5:49 AM
