TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
"Friday, Jun 27",,,,,
12:15 AM,WN3062,Baltimore (BWI),Southwest Airlines,B737,Estimated dep. 12:21 AM
12:30 AM,GB110,Cincinnati (CVG),DHL,B763 (N290CM),Departed 1:04 AM
1:00 AM,WN8517,Richmond (RIC),Southwest Airlines,B737,Estimated dep. 1:10 AM
3:30 AM,CV6105,Luxembourg (LUX),Cargolux,B744 (LX-ECV),Departed 3:59 AM
3:46 AM,8C3355,Cincinnati (CVG),Amazon Air,B763 (N617AZ),Departed 4:05 AM
4:15 AM,KE255,Dallas (DFW),Korean Air,74N,Unknown
5:00 AM,AA5507,Charlotte (CLT),American Eagle,CRJ9 (N584NN),Departed 5:11 AM
5:01 AM,F91872,New York (JFK),Frontier (Joey the Opossum Livery),A20N (N351FR),Departed 5:13 AM
5:12 AM,NK2343,Baltimore (BWI),Spirit Airlines,A21N (N730NK),Departed 5:41 AM
5:20 AM,NK2218,Fort Lauderdale (FLL),Spirit Airlines,A21N (N742NK),Departed 5:30 AM
5:25 AM,NK2287,Orlando (MCO),Spirit Airlines,A21N (N705NK),Departed 6:15 AM
5:30 AM,UA2440,Washington (IAD),United Airlines,B737 (N15710),Departed 5:43 AM
5:45 AM,NK2488,Detroit (DTW),Spirit Airlines,A321 (N661NK),Departed 5:53 AM
6:00 AM,AA2770,Dallas (DFW),American Airlines,B738 (N959AN),Departed 6:09 AM
6:00 AM,B6696,Boston (BOS),JetBlue,A320 (N652JB),Departed 6:03 AM
6:00 AM,DL404,New York (LGA),Delta Air Lines,A321 (N124DX),Canceled
6:00 AM,DL651,Detroit (DTW),Delta Air Lines,A321 (N368DN),Departed 6:17 AM
6:00 AM,F917,Montego Bay (MBJ),Frontier (Pike the Otter Livery),A320 (N235FR),Departed 6:37 AM
6:00 AM,UA447,New York (EWR),United Airlines,B39M (N77579),Departed 6:38 AM
6:00 AM,AA4547,Washington (DCA),American Eagle,E75S (N412YX),Departed 6:13 AM
6:00 AM,NK2353,Dallas (DFW),Spirit Airlines,A21N (N716NK),Departed 6:32 AM
6:00 AM,WN2925,Denver (DEN),Southwest Airlines,B737 (N7889A),Departed 6:11 AM
6:00 AM,WN8500,Richmond (RIC),Southwest Airlines,B737 (N203WN),Departed 6:27 AM
6:10 AM,WN3720,Houston (HOU),Southwest Airlines,B738 (N8644C),Departed 6:23 AM
6:15 AM,WN1784,New York (LGA),Southwest Airlines,B737 (N204WN),Departed 6:25 AM
6:25 AM,AC1304,Toronto (YYZ),Air Canada,BCS3 (C-GNAM),Departed 6:29 AM
6:30 AM,AS377,Seattle (SEA),Alaska Airlines,B39M (N943AK),Departed 8:31 AM
6:45 AM,AA3575,Charlotte (CLT),American Eagle,E75L (N302RN),Departed 9:29 AM
6:45 AM,F93512,Boston (BOS),Frontier (Brazos the Ridgway's Hawk),A21N (N658FR),Departed 6:54 AM
6:45 AM,WN404,Las Vegas (LAS),Southwest Airlines,B38M (N8895Q),Departed 7:05 AM
7:00 AM,AA616,Chicago (ORD),American Airlines,A319 (N814AW),Departed 8:11 AM
7:00 AM,DL987,Boston (BOS),Delta Air Lines,B752 (N723TW),Departed 7:07 AM
7:00 AM,DL996,Los Angeles (LAX),Delta Air Lines,A321 (N126DN),Departed 7:16 AM
7:00 AM,DL1334,Fort Lauderdale (FLL),Delta Air Lines,B752 (N695DL),Departed 7:12 AM
7:00 AM,UA6365,Houston (IAH),United Express,E75L (N88341),Departed 7:18 AM
7:00 AM,AA3190,Miami (MIA),American Airlines,B738 (N847NN),Departed 7:14 AM
7:00 AM,WN3368,Chicago (MDW),Southwest Airlines,B738 (N8651A),Departed 7:10 AM
7:00 AM,DL9960,Cartagena (CTG),Delta Air Lines,B738 (N382DA),Departed 7:56 AM
7:05 AM,WN420,Orlando (MCO),Southwest Airlines,B737 (N901WN),Departed 7:32 AM
7:07 AM,B6320,New York (JFK),JetBlue,A320 (N729JB),Departed 10:13 AM
7:10 AM,AA1428,Philadelphia (PHL),American Airlines,A319 (N4005X),Departed 9:09 AM
7:10 AM,DL1266,West Palm Beach (PBI),Delta Air Lines,A321 (N336DX),Departed 7:22 AM
7:10 AM,WN363,Washington (DCA),Southwest Airlines,B737 (N7849A),Departed 7:20 AM
7:13 AM,DL2204,Orlando (MCO),Delta Air Lines,B752 (N554NW),Departed 7:28 AM
